ID;Título;Entidade;Status;Requerente - Requerente;Atribuído - Grupo Técnico;Categoria;Descrição
13;Sistemas | ERP - SINQIA (27609);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : SQBI - Investimentos - SQBI - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Divergência de valores - SQBI X e-Financeira
5) DESCRIÇÃO - ??????????????) : 
Prezados

No processo de conciliação para entrega da e-Financeira verificamos algumas diferenças entre SQBI X informações que subiram para e-Financeira.

Ao analisar o valor do Crédito/Rendimento de alguns instrumentos existe uma divergência nos valores:

 	* E-FINANCEIRA

[c71f22f1-8752cc2f-688a4e1b43aa44.71645383]

 	* EXTRAÇÃO SQBI

[c71f22f1-8752cc2f-688a588096a4f5.15983162]

Então identificamos que existe uma diferença no valor inicial da Aplicação, exemplo Instrumento 39.806:

 	* E-FINANCEIRA

[c71f22f1-8752cc2f-688a5ac4824fe5.25346469]

 	* EXTRAÇÃO SQBI

[c71f22f1-8752cc2f-688a5b52618343.15720074]

Desta forma também impactando os valores de Débito/Pgto e Saldo último Dia declarados na e-Financeira.

Por favor verificar.

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
14;Sistemas | ERP - SINQIA (cópia de 3) (31239);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório Rebate a Diferir
5) DESCRIÇÃO - ??????????????) : 
pessoal, solicito a gentileza de verificar no relatório de rebates a diferir do mês 10/2025 2 contratos que trouxeram saldo a diferir negativo.
[c71f22f1-8752cc2f-69122dc1f2be48.28270172]

Aproveito também para solicitar um revisão das informações deste relatório, pois temos percebido uma disparidade entre os valores diferidos ao longo dos meses.

Por ultimo, solicito a gentileza de incluir uma coluna de ''Carteira'' para identificarmos facilmente sem que seja necessário associar uma fórmula a outras planilhas.

Desde já agradeço.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
15;Sistemas | ERP - SINQIA (30369);16;4;36;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Esteira de Compliance
5) DESCRIÇÃO - ??????????????) : 
Prezados, boa tarde!

Precisamos de um ajuste na esteira do portal de crédito, onde a área de compliance consiga enviar a proposta para área jurídica para fazer análise dos clientes. 

Obrigada. 

6) ANEXO - ?? : Nenhum documento anexado"
16;Sistemas | ERP - SINQIA (31548);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CD - Cadastro - CD - ??
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Criação de campo CNPJ formato alfanumérico - Receita Federal
5) DESCRIÇÃO - ??????????????) : 
Boa tarde!

Em atendimento à Instrução Normativa RFB nº 2.229, que altera a IN RFB nº 2.119/2022 para estabelecer o formato alfanumérico do número identificador do Cadastro Nacional da Pessoa Jurídica (CNPJ) no âmbito da Secretaria Especial da Receita Federal do Brasil, solicito a gentileza de verificar o andamento dessa modificação no sistema.

É importante que, com a implantação do novo formato de CNPJ, nosso sistema esteja devidamente preparado para iniciar as atividades sem impacto operacional.

Agradeço desde já e permaneço à disposição.

 

 

6) ANEXO - ?? : Nenhum documento anexado"
17;Sistemas | ERP - SINQIA (32341);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : FO - Portal de Crédito - FO - ????
3) SOLICITAÇÃO - ?? : Melhoria - ??
4) JUSTIFIQUE A NECESSIDADE DA MELHORIA - ?????? : Inclusão dados endereço de correspondencia na CCB
5) DESCRIÇÃO - ??????????????) : 
Bom dia

Favor incluir, na geração da CCB, os dados de endereço para os clientes que possuem endereço de correspondência cadastrado.

Na CCB deverá constar o endereço do cliente referente à “Sede/Residencial”, conforme informado no CNPJ, contrato social e ficha cadastral. Entretanto, como alguns clientes possuem sede localizada em área rural, onde não há entrega de correspondências pelos Correios, é necessário que o endereço de Correspondência também seja apresentado na CCB para fins de validação jurídica.

Para os clientes que não possuem endereço de correspondência preenchido, deverá constar apenas o endereço da Sede/Residencial.

Estou a disposicao para qualquer duvida.

Desde já agradeço.

 

6) ANEXO - ?? : Documento anexado"
18;Sistemas | ERP - SINQIA (28221);7;4;30;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : BOLETO HIBRIDOS
5) DESCRIÇÃO - ??????????????) : 
Meninos, pensando em aderir os Boletos Híbridos a Diretoria solicitou que levantássemos todos os pontos para uma possível implementação, sendo assim que que analise o e-mail em anexo para que possamos verificar  se haverá alguma intervenção da SINQUIA nesse processo.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
19;Sistemas | ERP - SINQIA (31582);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Inconsistência no envio do FGC300/303
5) DESCRIÇÃO - ??????????????) : 
Solicito a gentileza de seu apoio em verificar com a SINQIA se tivemos algo diferente entre os arquivos enviados ao FGC referente ao mês 10/2025 em relação ao mês 09/2025. Aparentemente e com as ferramentas que temos não consegui identificar nenhuma inconsistência, porém o FGC no enviou um e-mail questionando nossa quantidade de clientes que pra eles chegou 1.109 quando na verdade este número é referente à quantidade de instrumentos sendo somente 6 a quantidade de clientes.

Conseguem verificar se houve algum problema sistêmico, por gentileza?

Desde já agradeço

6) EVIDÊNCIA(S) - ?? : Documento anexado"
20;Sistemas | ERP - SINQIA (cópia de 2) (31238);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório Rebate a Diferir
5) DESCRIÇÃO - ??????????????) : 
pessoal, solicito a gentileza de verificar no relatório de rebates a diferir do mês 10/2025 2 contratos que trouxeram saldo a diferir negativo.
[c71f22f1-8752cc2f-69122dc1f2be48.28270172]

Aproveito também para solicitar um revisão das informações deste relatório, pois temos percebido uma disparidade entre os valores diferidos ao longo dos meses.

Por ultimo, solicito a gentileza de incluir uma coluna de ''Carteira'' para identificarmos facilmente sem que seja necessário associar uma fórmula a outras planilhas.

Desde já agradeço.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
21;Sistemas | ERP - SINQIA (29983);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : TE - Tesouraria - TE - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Novo Layout NFTS da Prefeitura de Pouso Alegre
5) DESCRIÇÃO - ??????????????) : 
Prezados

A partir de 14/10/2025 a Prefeitura de Pouso Alegre possui novo sistema para declaração de regulatórios.

Em anexo novo layout para declaração das notas recebidas de Prestadores estabelecido fora do município de Pouso Alegre.

Precisamos adequar nosso sistema.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
22;Sistemas | ERP - SINQIA (26292);28;4;37;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO - Contabilidade - CO - ??
3) SOLICITAÇÃO - ?? : Lentidão do Sistema - ????
4) DESCRIÇÃO - ??????????????) : 
Habilitar a colagem do número de conta contábil, no campo ''conta contábil'' da tela de cadastro da conciliação físico x contábil, pois, atualmente precisamos pesquisar o número da conta na tela seguinte, demandando muito tempo.

5) ANEXO - ?? : Documento anexado"
23;Sistemas | ERP - SINQIA (25147);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : ECD - Plano de Contas X Referencial ECF
5) DESCRIÇÃO - ??????????????) : 
Prezados

Estamos gerando o Sped Contábil ref. o ano de 2024.

Necessário associar nosso plano de contas com o plano referencial da ECF.

Fizemos esta etapa importando as tabelas de contas referenciais, porém precisamos verificar o relatório para verificar se é necessário associar alguma conta de forma manual.

Não está mais aparecendo no Módulo Regulatório Contábeis o menu para geração do relatório (Menu Relatórios - Plano de contas referencial)

Por favor verificar com o time da Sinqia qual o menu atual para geração do relatório.

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
24;Sistemas | ERP - SINQIA (30232);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Eventos inexistentes com movimentação
5) DESCRIÇÃO - ??????????????) : 
Olá pessoal, solicito a gentileza de seu apoio em verificar com a Sinqia o motivo pelo qual temos eventos que não possuem cadastro no EM, mas geram movimentação contábil. Não seria ideal nos enviar uma lista completa para subirmos os cadastros?

 

Desde já agradeço.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
25;Sistemas | ERP - SINQIA (30649);6;4;10;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : SQBI - Investimentos - SQBI - ??
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ????
4) EXPLIQUE SUA DÚVIDA - ?????? : Consta em nossa base cadastral CD e FO) o cadastro da Extra Máquinas Sao Paulo, cod. 4883-6 porém não fez a integração para o sistema SQBI
5) DESCRIÇÃO - ??????????????) : 
Consta em nossa base cadastral (CD e FO) o cadastro da Extra Máquinas Sao Paulo, cod. 4883-6 porém não fez a integração para o sistema SBBI, favor validar para atender a solicitacao da Leilei conforme e-mail.

Obrigada

6) EVIDÊNCIA(S) - ?? : Documento anexado"
26;SD-219124 4966 - CO ILG - DESIF - Novos Códigos (20210);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA 
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO ILG - Regulatórios Contábeis - CO ILG - ?? 
3) SOLICITAÇÃO - ?? : Dúvida Operacional - ???? 
4) EXPLIQUE SUA DÚVIDA - ?????? : DESIF - Prefeitura de São Paulo - Novo COSIF 
5) DESCRIÇÃO - ??????????????) : 
Prezados

Recebemos em 08/01/2025 comunicado da Prefeitura de São Paulo informando aos Contribuintes que está disponível o ''novo COSIF'' para envio da DESIF relativo aos impactos da Resolução CMN 4966/2021.

A partir de 01/01/2025 deverá ser utilizado os novos códigos do COSIF contendo dez dígitos (antes da alteração existia 8 dígitos)

Os novos códigos foram disponibilizado no portal da DESIF e seguem em anexo.

Por favor adequar o sistema para envio da Declaração  (prazo legal em 10/02/2025)

 

 

6) EVIDÊNCIA(S) - ?? : Documento anexado "
27;Sistemas | ERP - SINQIA (27588);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório ''Custos e Receitas Diferidos''
5) DESCRIÇÃO - ??????????????) : 
Solicito a gentileza de seu apoio em verificar o relatório de Custos e Receitas Diferidos, pois os valores não correspondem ao nosso saldo apurado no contábil, saldo este que está conciliado com um relatório interno que acessa diretamente o BD.

Anexo o relatório gerado para análise.

Obs.: Foi solicitado pelo time de tecnologia que testássemos este relatório.

[c71f22f1-8752cc2f-688a10f6805d04.47580701]

6) EVIDÊNCIA(S) - ?? : Documento anexado"
28;Sistemas | ERP - SINQIA (cópia de 4) (31240);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório Rebate a Diferir
5) DESCRIÇÃO - ??????????????) : 
pessoal, solicito a gentileza de verificar no relatório de rebates a diferir do mês 10/2025 2 contratos que trouxeram saldo a diferir negativo.
[c71f22f1-8752cc2f-69122dc1f2be48.28270172]

Aproveito também para solicitar um revisão das informações deste relatório, pois temos percebido uma disparidade entre os valores diferidos ao longo dos meses.

Por ultimo, solicito a gentileza de incluir uma coluna de ''Carteira'' para identificarmos facilmente sem que seja necessário associar uma fórmula a outras planilhas.

Desde já agradeço.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
29;Sistemas | ERP - SINQIA (31231);28;4;11;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : EM - Crédito - EM - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Apropriações da comissão de Fiança
5) DESCRIÇÃO - ??????????????) : 
Solicito a gentileza de nos apoiar para entender a disparidade entre os valores de apropriação ao longo dos meses da Carta Fiança. Na planilha anexa podemos perceber por contrato a diferença ao longo dos meses.

 

Desde já agradeço e me coloca a disposição em caso de dúvidas.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
30;Sistemas | ERP - SINQIA (28829);10;2;33;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CP - Regulatórios de Crédito - CP - ????
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório 3040
5) DESCRIÇÃO - ??????????????) : 
Bom dia, time TI.

Peço a gentileza de verificar o ''relatório 3040 [4966]'', pois no campo de classificação interna, temos alguns contratos que estão em branco. Estou encaminhando em anexo os contratos em questão, com base no relatório de agosto 2025.

Obrigado.

6) EVIDÊNCIA(S) - ?? : Documento anexado"
31;Sistemas | ERP - SINQIA (23826);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : CO - Contabilidade - CO - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Relatório de Apuração IRPJ/CSLL
5) DESCRIÇÃO - ??????????????) : 
Prezados

Por favor verificar Relatório de apuração do IRPJ e CSLL que está sendo emitido totalmente em branco.

Em anexo Apuração anterior contendo todas as informações relativas a apuração.

 

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
32;Sistemas | ERP - SINQIA (21467);28;4;51;3;225;"DADOS DO FORMULÁRIO

SISTEMAS - ??

1) SELECIONE O SISTEMA - ???? : ERP - SINQIA - ?????? - SINQIA
2) SELECIONE A OPÇÃO DESEJADA - ??????? : TE - Tesouraria - TE - ??
3) SOLICITAÇÃO - ?? : Erro Sistêmico - ?????
4) EXPLIQUE O PROBLEMA QUE ESTÁ ENFRENTANDO - ????????? : Pagamento de DARF com código de barras
5) DESCRIÇÃO - ??????????????) : 
Prezados

Os darf's ''não'' estão sendo pagos através do código de barras.

Inserido no TE Web todos os dados dos DARF's inclusive o código de barras, conforme evidência:

[c71f22f1-8752cc2f-67ab5320ba28f4.89443686]

 

Em anexo arquivo de retorno do Banco + DARF inserido.

[c71f22f1-8752cc2f-67ab541682f617.27605271] 

Anteriormente aberto o chamado 12126 solicitando o pgto através do cód. de barras e encontra-se encerrado alegando a solução através da utilização do TE WEB.

 

6) EVIDÊNCIA(S) - ?? : Documento anexado"
